name,set,product_id,rarity,number,market_price,low_price,mid_price,printing
Disney Lorcana: Wilds Unknown Booster Box,Wilds Unknown,678165,,,133.01,132.92,139.6,Normal
Disney Lorcana: Wilds Unknown Booster Box Case,Wilds Unknown,678166,,,572.38,548.96,568.99,Normal
Disney Lorcana: Wilds Unknown Booster Pack,Wilds Unknown,678167,,,9.97,19.98,19.98,Normal
Disney Lorcana: Wilds Unknown Illumineer's Trove,Wilds Unknown,678168,,,58.71,58.33,63.95,Normal
The Queen - Evil Ruler,Wilds Unknown,678234,Common,75/204,,,,Normal
Buzz Lightyear - On the Way,Wilds Unknown,678236,Rare,85/204,,,,Normal
Mrs. Incredible - Super Stretchy,Wilds Unknown,678237,Rare,49/204,,,,Normal
Jack-Jack Parr - Incredible Potential,Wilds Unknown,678238,Super Rare,121/204,,,,Normal
Disney Lorcana: Wilds Unknown 2-Player Starter Set Display,Wilds Unknown,680711,,,99.92,99.87,99.88,Normal
Disney Lorcana: Wilds Unknown 2-Player Starter Set,Wilds Unknown,682038,,,43.58,43.4,43.46,Normal
Disney Lorcana: Wilds Unknown Sleeved Booster Pack,Wilds Unknown,682040,,,,,,Normal
Darkwing Duck - Dashing Gadgeteer,Winterspell,658218,Super Rare,150/204,0.23,0.1,0.3,Normal
Launchpad - Trusty Sidekick,Winterspell,658219,Common,177/204,0.19,0.05,0.2,Cold Foil
Angel - Siren Singer,Winterspell,658220,Uncommon,25/204,1.91,1.68,1.96,Cold Foil
Stitch - Carefree Snowboarder,Winterspell,658221,Rare,7/204,2.18,1.5,2.39,Cold Foil
Disney Lorcana: Winterspell Booster Box,Winterspell,664819,,,117.25,109.99,121.19,Normal
Disney Lorcana: Winterspell Booster Box Case,Winterspell,664820,,,486.12,495.15,543.97,Normal
Disney Lorcana: Winterspell Booster Pack,Winterspell,664821,,,5.04,4.32,5.8,Normal
Disney Lorcana: Winterspell Sleeved Booster Pack,Winterspell,664822,,,8.07,6.99,9.65,Normal
Disney Lorcana: Winterspell Sleeved Booster Pack Art Bundle [Set of 3],Winterspell,664823,,,31.99,39.99,39.99,Normal
Disney Lorcana: Winterspell Illumineer's Trove,Winterspell,664826,,,49.73,43.0,49.99,Normal
Disney Lorcana: Winterspell Gift Box - Scrooge McDuck,Winterspell,668328,,,18.86,18.54,27.8,Normal
Disney Lorcana: Winterspell Collection Starter Set - Stitch Edition,Winterspell,668330,,,24.88,21.61,28.95,Normal
Anna - Soothing Sister,Winterspell,668576,Legendary,50/204,2.17,2.0,3.0,Normal
Do You Want To Build A Snowman?,Winterspell,668577,Rare,61/204,1.09,0.75,1.33,Cold Foil
Scrooge McDuck - Miserly Ebenezer,Winterspell,670163,Common,160/204,0.07,0.01,0.1,Normal
Jiminy Cricket - Ghost of Christmas Past,Winterspell,670164,Uncommon,146/204,0.07,0.01,0.13,Normal
Willie the Giant - Ghost of Christmas Present,Winterspell,670270,Rare,126/204,0.34,0.15,0.46,Cold Foil
Pete - Ghost of Christmas Future,Winterspell,672431,Rare,154/204,7.05,5.5,8.99,Cold Foil
Graveyard of Christmas Future - Lonely Resting Place,Winterspell,672432,Rare,135/204,1.84,0.95,2.24,Cold Foil
Scrooge McDuck - Reformed Ebenezer,Winterspell,672433,Legendary,152/204,2.32,1.0,3.99,Normal
Ohana Means Family,Winterspell,673067,Legendary,32/204,19.57,19.0,21.79,Cold Foil
Ohana Means Family (Enchanted),Winterspell,673068,Enchanted,224/204,156.52,171.2,174.85,Holofoil
Pleakley - Arctic Naturalist,Winterspell,673069,Uncommon,18/204,0.27,0.12,0.35,Cold Foil
Jumba Jookiba - Prolific Inventor,Winterspell,673070,Rare,19/204,0.49,0.24,0.6,Cold Foil
Snowball Fight,Winterspell,673071,Common,95/204,0.16,0.05,0.25,Cold Foil
Mickey Mouse - Snowboard Ace,Winterspell,673081,Uncommon,91/204,0.32,0.14,0.35,Cold Foil
Pocahontas - Peacekeeper,Winterspell,673297,Legendary,22/204,6.3,5.0,7.57,Cold Foil
Pocahontas - Peacekeeper (Iconic),Winterspell,673298,Iconic,241/204,503.12,700.0,808.75,Holofoil
Moana - Curious Explorer,Winterspell,673299,Legendary,155/204,15.11,13.96,18.68,Normal
Moana - Curious Explorer (Iconic),Winterspell,673300,Iconic,242/204,613.69,1499.0,1499.0,Holofoil
Dr. Hamsterviel - Infamous Scientist,Winterspell,673301,Rare,186/204,0.18,0.03,0.22,Normal
Elsa - Concerned Sister,Winterspell,673302,Uncommon,125/204,0.06,0.01,0.15,Normal
Elsa - Ice Artisan,Winterspell,673303,Legendary,123/204,5.41,4.06,6.52,Cold Foil
Freeze the Vine,Winterspell,673304,Rare,96/204,0.53,0.34,0.55,Cold Foil
Gantu - Hamsterviel's Accomplice,Winterspell,673305,Uncommon,176/204,0.1,0.02,0.17,Normal
Reuben - Sandwich Expert,Winterspell,673306,Rare,21/204,0.49,0.24,0.52,Normal
The Cold Never Bothered Me,Winterspell,673307,Rare,130/204,0.6,0.24,0.7,Cold Foil
The Frozen Vine - Monstrous Plant,Winterspell,673308,Uncommon,68/204,0.28,0.15,0.28,Cold Foil
Angel - Experiment 624,Winterspell,673311,Legendary,191/204,40.44,37.49,40.15,Normal
Genie - Magical Researcher,Winterspell,673318,Rare,49/204,2.39,1.35,3.0,Cold Foil
Goofy - Ghost of Jacob Marley,Winterspell,673328,Super Rare,83/204,0.2,0.01,0.26,Normal
Donald Duck - Fred Honeywell,Winterspell,673331,Legendary,93/204,6.36,4.68,7.11,Cold Foil
Tinker Bell - Snowflake Collector,Winterspell,673332,Legendary,48/204,2.92,2.48,3.44,Cold Foil
Stitch - High Badness Level,Winterspell,673335,Common,185/204,0.22,0.01,0.25,Cold Foil
Beast - Snowfield Troublemaker,Winterspell,673337,Super Rare,118/204,0.27,0.05,0.29,Normal
Timon - Snowball Swiper,Winterspell,673339,Rare,16/204,0.71,0.45,0.77,Cold Foil
Gramma Tala - Connected to Nature,Winterspell,673343,Rare,148/204,0.35,0.25,0.5,Cold Foil
White Rabbit - Late Again,Winterspell,673345,Uncommon,89/204,0.37,0.19,0.38,Cold Foil
Elisa Maza - Transformed Gargoyle,Winterspell,673350,Rare,112/204,0.15,0.06,0.23,Normal
Negaduck - Public Enemy Number One,Winterspell,673354,Rare,116/204,1.0,0.78,1.05,Cold Foil
Darkwing Duck - Cool Under Pressure,Winterspell,673355,Legendary,192/204,8.87,6.5,9.14,Cold Foil
Winterspell,Winterspell,673357,Uncommon,199/204,0.08,0.01,0.15,Normal
Belle - Snowfield Strategist,Winterspell,673405,Super Rare,158/204,0.61,0.2,0.99,Normal
McHorn - Ice-Cold Officer,Winterspell,673406,Common,181/204,0.05,0.01,0.1,Normal
Rabbit - Fed Up,Winterspell,673408,Uncommon,41/204,0.05,0.01,0.11,Normal
Pot of Honey,Winterspell,673417,Common,67/204,0.04,0.01,0.1,Normal
Taran - Magically Armed,Winterspell,673420,Uncommon,44/204,0.06,0.01,0.11,Normal
Tod - Playful Kit,Winterspell,673426,Rare,90/204,0.23,0.09,0.29,Normal
Isis Vanderchill - Ice Queen of St. Canard,Winterspell,673428,Common,38/204,0.07,0.01,0.1,Normal
Minnie Mouse - Spinning Skater,Winterspell,673430,Common,72/204,0.07,0.01,0.1,Normal
